source	inter	target	btstp	index	?
GCN5	1	MYB56	3.9	2.015	1.8
GCN5	1	ZF3	1	0.71	1
GCN5	1	MYB53	100	1.206	1
ARR17	-1	BDL	31.3	3.319	0.3
ARR17	1	ARR15	10.5	3.311	0.3
ARR17	1	APT2	68.3	3.364	2.2
ARR17	1	ARR5	59.3	2.975	3.5
ARR17	-1	EXPA20	100	1.311	2.2
ARR9	-1	AT1G04880	41.2	2.439	1.8
ARR9	-1	AFB3	70.9	2.482	4.5
ARR9	1	JAZ1	18.6	1.713	4.2
ARR9	-1	MP	92.1	1.843	2.3
ARR9	1	PIN7	100	0.993	0.5
ARR9	1	PIN3	35.2	1.565	1
ARR9	1	LBD17	99.9	2.134	1.2
ARR9	1	AHP1	100	1.15	2.2
ARR9	1	IAA2	45.8	1.875	2.7
ARR9	-1	LOG4	98.1	1.448	0.2
ARR9	1	SHP1	100	1.987	2.5
ARR9	1	ACS11	100	1.988	1.5
ARR9	1	LOG9	81.4	2.257	2.7
ARR9	-1	ARF8	78.4	2.722	1.3
ARR9	1	ABIL4	100	1.215	0.2
ARR9	1	CLV1.like2	94.6	1.645	0.8
ARR9	-1	HDG12	65.4	2.021	1.5
LBD29	1	ARF1	13.5	2.04	4
LBD29	1	GH3.3	19	1.187	1.5
LBD29	1	SLR	93.7	1.118	0.5
LBD29	1	CK.N.GT	99	0.883	2.2
LBD29	1	PUCHI	37.6	1.066	3
SHP1	-1	BDL	84.5	1.284	0.5
SHP1	1	JAZ1	81.4	1.296	2
SHP1	-1	CRF12	100	1.047	2.5
SHP1	-1	PHV	100	0.986	1.5
SHP1	1	MYC2	62	1.519	2.5
SHP1	-1	CRF10	96.7	1.559	2.2
SHP1	-1	CLV1.like4	66.3	1.631	2
SHP1	1	GH3.1	46.2	0.863	2.2
SHP1	-1	EXPA4	79.9	1.533	2.2
SHP1	1	AHP1	66.3	1.147	1.2
SHP1	1	KRP2	46.5	1.32	1
SHP1	-1	GCN5	3.6	2.229	1.7
SHP1	-1	SHP1	6.1	0	0
SHP1	-1	ARF18	100	0.763	1.2
